"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead, BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
111,2,4,"TXT",15,"0",0,"must be ^iproved by the administrative officials both <m campus and at the chancelkw’s office, said Swanson. The curriculum for the noajor must also be submitted and approved."
112,2,4,"TXT",16,"0",0,"A curriculum is also being developed for the proposed major, said Swan son. The music minor that was instituted in the fall helped add some more advanced courses, but she hopes to expand these courses and add others:'"
113,2,1,"HL",0,"0",0,"Emergency functions discussed at Diablo hearing"
114,2,1,"ME",0,"-1",0,"From pagel"
115,2,1,"TXT",8,"0",0,"Pressure heaters are normal controling units and therefore would not be under a safety grade classification, he said."
116,2,1,"TXT",9,"0",0,"PG&E established in its testimony that a cold shutdown—when	the"
117,2,1,"TXT",9,"0",0,"plant is closed"
118,2,1,"TXT",9,"0",0,"completely—is possible without pressure heaters. The opposition later established that while there may be alternative methods of shutdown^ the current operating plan does not discuss any."
119,2,1,"TXT",10,"0",0,"In the discussion of the power-operated relief"
120,2,1,"TXT",10,"0",0,"valves at Diablo Canyon, the inddsot involving valvee at *niree Mile Island was brought up by Joel Re3molds, public interest attorney."
121,2,1,"TXT",11,"0",0,"‘T believe the valve opened but did not reclose (at Three Mile Island),"" Houch said."
122,2,0,"AT",0,"0",1,"MUSTANO-YOUR DAILY PICKUP"
123,2,0,"AT",0,"0",1,"A second order of Mustang Daily Baseball Jerseys.^ featuring Frawls is in progress"
124,0,0,"B",0,"0",0,
125,2,0,"AT",0,"0",1,"^	i"
126,2,0,"AT",0,"0",1,"Only $6.00"
127,0,0,"B",0,"0",0,
128,0,0,"B",0,"0",0,
129,2,0,"AT",0,"0",1,"To Oroet Slop bv lt>e M.D olWce(G.A 226) ond talk to Tom(the editofi"
130,2,0,"AT",0,"0",1,"Om Yours NOW... and Iwt mraryon« know that you kewp inkxmod with THE MUSTANG DAILY."
131,2,1,"TXT",12,"0",0,"No member of the PG&E panel could verify whether the relief valve at lliree Mile Island was classified safety grade."
132,2,1,"TXT",13,"0",0,"' It was established in testimony that the relief valve at Three Mile Island was not the only component that malfunctioned and that inap-prc^triate action taken by a pUmt operator escalated the acddient."
133,2,1,"SH",0,"0",0,"Two make the grade"
134,2,1,"TXT",14,"0",0,"Two of the three power-operated reliei valves at Diablo are safety grade, the other “in some respects is not,"" said Houch."
135,2,1,"TXT",15,"0",0,"If the valvee should stick open there is no way of manually closing them, Houch said."
136,2,1,"TXT",16,"0",0,"The valves were purchased	from"
137,2,1,"TXT",16,"0",0,"Westinghouse, according"
138,2,1,"TXT",16,"0",0,"to Glenn Lange, Westinghouse engineer. The valvee were purchased in the early 1970's, he said."
139,2,1,"TXT",17,"0",0,"The governor’s at-tornqr asked if the valves were up to coda."
140,2,1,"TXT",18,"0",0,"Lange reqwnded, ""The valves met the standards and codes in effect at the time of purchase. Those codes may have changed.”"
141,2,0,"AT",0,"0",3,"LetUsnilllHi"
142,2,0,"AT",0,"0",3,"InOirFUire"
143,2,0,"AT",0,"0",3,"isnS aiwitwe • Wnsncisl • Enatnaailng • laptoiaSon anS Sraduabit •"
144,0,0,"B",0,"0",0,
145,0,0,"NA",0,"0",0,"•i-"
146,2,0,"AT",0,"0",2,"ATTENTION SENIORS! ON CAMPUS INTERVIEWING JANUARY 26 A 27"
147,2,0,"AT",0,"0",2,"APPLIED MAGNETICS representativ« wilt be interviewing on campus this year."
148,2,0,"AT",0,"0",2,"APPLIED MAGNETICS is the world's leading supplier of magnetic recording heads to the computer industry That's right Applied Magr>etics is * 1 And we ve grown from » single plant in Santa Barbara producing or>e product to a high technology research and manufacturing business with multiple products and facilities in several countries producing custom designed products"
149,2,0,"AT",0,"0",2,"We h^e Engineering assignments m Mechanical. Electrical and Quality Assurance assignments that lead to personal development in Technical and Management fields For those qualified m"
150,2,0,"AT",0,"0",2,"Manufacturing and Business studies there are career paths in Manufacturing Supervision, Production Control, Purchasing. Quality Control and Sales"
151,2,0,"AT",0,"0",2,"If you prefer a work hard, learn to manage, share the profits environment and you won’t be distracted by working in Santa Barbara, California, then sign up NOW at the Placement Office for an interview, or write to Mr G Bruce at the address below We will take the time to tell you about our personal develop ment opportunities in a high technology manufacturing business"
152,2,0,"AT",0,"0",2,"Apptod Magnotfc« Magn«ttcHMdDlvMon Corporation"
153,2,0,"AT",0,"0",2,"^ I 75 Robin Hill Road Golata, CA 93117"
154,2,0,"AT",0,"0",2,"An CqsMl Oppoftunity Employtr M/F^"
155,0,0,"NA",0,"0",0,"CnwwMnlcaUew • TWInfnt"
156,2,0,"AT",0,"0",3,"At Chevron we uee a broad range of tyatama software on large mainf ramea arsd smaM buainees mim-computera throughout our operation With theae tyatama. our computer aarvicea offer the moat coet affective problem aolving approach between OnMne/Batch. Remote Batch. Timaahanng. and Owtnbulad Data Proceaaing WV próvida accurate information tyatama to daciaion makers m a great variety of application areas irKluding Finance. Logistics. Planning. Manufacturing. Marketing and Chamicaia"
157,2,0,"AT",0,"0",3,"Within the neat five yeais. more than 50% of our managers will be moving up to poai-tiona of even greeter reaponsibility or retiring This meens rapid advancement for thoae individúala being hired now and in the future If you’d like to plan a career with one of the country a leading energy companies, there may never be a better tune to atari You can choose the area of profeaaionai apecialuation that beat suits your interaets and get set to enjoy ChaHengea that lead to recognition and growth"
158,2,0,"AT",0,"0",3,"When you put Chevron in your future youII not only be planning lor an exoellent rareai you’ll be letting yourself in for one of the fmeat iifeatylea you can fmd From Ghiradelli Square to the tea rooms arxj temples of Chinatown. San Francisco, and tha entire Bay Area offer countless opportunities lor fun and sxcitament"
159,2,0,"AT",0,"0",3,"Find Out more about us We offer great compensation in addition to all the advantages mentioned above, and the environment in our offices is as inspiring as our location We II be on your campus February S-9 Contact your Placement Office for an intennew"
160,2,0,"AT",0,"0",3,"An Equal Opportunity Emptoyer"
161,2,0,"AT",0,"0",3,"Compulw-Servtcee Deperfrneot"
162,2,0,"AT",0,"0",3,"CiMvron"
163,2,0,"AT",0,"0",3,"■ I"
164,2,0,"AT",0,"0",3,"Standani 01 ComiianY of Caifoma"
165,0,0,"NA",0,"0",0,"1 ."
166,0,0,"B",0,"0",0,
167,0,0,"NA",0,"0",0,"'■	‘-■■i--“—■■■ ■"
168,3,0,"PI",0,"0",0,"HMtMig Daily WadnMday, Jamiaiy 20,1M2"
169,3,0,"PI",0,"0",0,"P«q»9"
170,3,0,"SH",0,"0",0,"Outdoors"
171,0,0,"B",0,"0",0,
172,0,0,"NA",0,"0",0,",T---"
173,0,0,"B",0,"0",0,
174,0,0,"B",0,"0",0,
175,0,0,"NA",0,"0",0,"'-'Ijí']"
176,3,9,"HL",0,"0",0,"Canoeiiig the Colorado"
177,0,0,"NA",0,"0",0,"#»"
178,3,9,"HL",0,"0",0,"or.. .being where the rain ain't during Christmas break"
179,0,0,"B",0,"0",0,
180,3,9,"BL",0,"0",0,"BY ROBIN LEWIS"
181,3,9,"BL",0,"0",0,"Outdoor Editor"
182,3,9,"TXT",1,"0",0,"Aui"
183,3,9,"TXT",1,"0",0,"sixtaen of ua sit in the ASI van at the gate leading down to the Colorado River jiut bdow Hoover Dam. Black Canyon."
184,3,9,"TXT",2,"0",0,"“Okay,"" aays the gray-haired, tigfatfaced ranger, “I arant you people down there and in the river quiddy. I don’t e-have time to atay with you all morning.^ Down there and in the river, fast."" He turns to his car."
185,3,9,"TXT",3,"0",0,"“Sieg haU,’’ I say in my head and exchange “Wall, nah-nafa to him, too” glances with arith my fellow trip members. Half the group salutes this back of the ranger’s head as he climbs in his car. *"
186,3,9,"TXT",4,"0",0,"Wa are in the water with such speed and efficiency even I am impressed. No rookies, us. We’re with ASI Outings."
187,3,9,"TXT",4,"0",0,"We know a canoe when we See one, no problem. Some of us know how to steer one. too. The ranger scowls from the road."
188,3,9,"TXT",5,"0",0,"Soon everyone is in the water and we turn downriver, we have miles to -•» before we sleep. Wa get three hundred-yards. I can still see where we put in upriver, but natural bot springs are hiu^ to pass up."
189,3,9,"TXT",6,"0",0,"A showering waterfall of 100 degress Fahrenhait, poob in the rocks, and rain caves where drops of hot and cold water come from the ceiling along stalactites."
190,3,9,"TXT",7,"0",0,"We find an old water tunnel drilled for the dam that struck hot water of its own. Inside is a sauna, tepid water flowing from the end of the tunnel a hundred feet back."
191,3,9,"TXT",8,"0",0,"Hot springs, a sauna and a cool lagoon. I can tell some people are get-"
192,3,9,"TXT",8,"0",0,"ting the “wilderness."
193,3,9,"TXT",8,"0",0,"wrong impression of"
194,3,9,"PH",0,"0",0,"Two canoeists, left, slide across the Ctrforado River in Black Canyon bdow Hoover Dam. Bdow: Bob tries to coax a little syrup from the bottle for his pancakes, aixl bdow left, strums his mandolin on the road back to Cal Pply."
195,0,0,"B",0,"0",0,
196,3,9,"TXT",9,"0",0,"Xt is still dusk. I would not know it if I did not look up out of the canyon. In hers; it is black already, tbs cliffs ranging against the deep blue of the sky. Venus is already out."
197,3,9,"TXT",10,"0",0,"I sit on an outcropping over the river as it runs black beneath me, no moon to reflect. Tbs lapping of the water against the shore comes up to me. There is a motion out there, it is felt."
198,3,9,"TXT",11,"0",0,".^Lnother 1"
199,3,9,"TXT",11,"0",0,"- rock explodes in the campfire, shooting splintars into the crowd."
200,3,9,"TXT",12,"0",0,"“I’m moving,’’ someone ssys for the fourteenth time. Crystal’s tennis shoe catches firs, I watch it with interest for several seconds before pointing the flames out to her. It is now a sandal."
201,3,9,"TXT",13,"0",0,"Everyone’s knees touch, it is a warm night. I am trying to remember if I go to school, and. if I do, where? Is then s world outside of here, past the canoes, the cliffs and the Colorado River? (Now close to losing all pretensiona of being anything but the L. A. Canal.l"
202,3,9,"TXT",14,"0",0,"A running $tory from amid tha laugh tor around tha campftrt:"
203,3,9,"TXT",15,"0",0,"It starts with a 400-room mansion hotel on tha stormy coast of hfaina; it’s ~ propriator. Big Mama; and a thraa-hun-drad-pound cliant, Mr. Brown."
204,3,9,"TXT",16,"0",0,"Mr. Brown dumps his thin, blonds girlfriend soon after orrivaL She returns to New York never to be heard from again. Mr. Brown goes on to have a few scrapes with some ghosts, finally seeking help from Mr. Wizard (""Hrip mel"") who sends him back to King Arthur’s time."
205,3,9,"TXT",17,"0",0,"But he arrives as a small mouse with wings who wins the Singing Sword and is then trapped in a birdcage by an an-cestor/looh-a-lihe of Big Mama. She frees him to face the challenge of the Black Knight, whom Mr. Brown, the flying mouse, then beats in a Jousting match."
206,3,9,"TXT",18,"0",0,"We then Jump back to the 400-room mansion: which is carried to an imaginary' land where\Uves Harold, the"
207,0,0,"NA",0,"0",0,"- -w-"
208,0,0,"NA",0,"0",0,"-V."
209,3,9,"TXT",18,"0",0,"rabbit. This world, actually Oklahoma, descends into nuclear war and total annihilation begins. The Singing Sword rifts through Harold, killing him instantly."
210,3,9,"TXT",19,"0",0,"A total reversal of world annihilation, but ru)t Harold’s death, is brought about by Mr. Brown, who is no longer a flying mouse, and the magic of the Siriging Sword. Then, Mr. Brown fights a long, final, pitched battle with the spies who have intermittently tried to steal the Singing Sword to aid their world domination. Mr. Brown kills all the spies and the world is safe again."
211,3,9,"TXT",20,"0",0,"All this without hallucinogens."
212,3,9,"TXT",21,"0",0,"People are going off to b^. I look up. tbs fin sprays rock again as-the sl^ across the canyon glows with the rising moon."
213,3,9,"TXT",22,"0",0,"X he safl pops in the wind as we slice across the cho^MOR water of Lake Mojave, my h^ whipping around my head. Three canoM are tied together to use a ' huge plastk tarp tied to canoe paddles and held up to the wind for a sail."
214,3,9,"TXT",23,"0",0,"Well, somsons has to rudder,’’ auyt Bob. “this is bard work.”"
215,3,9,"TXT",24,"0",0,"’The human moats jerk again with the srind and look skeptical. But, hell, fifteen miles without paddling..."
216,3,9,"TXT",25,"0",0,"X be sky in the east is barely light. I crunch through the gravel of the desert, scuffing my boots, grinding myself into the diirt. Sagebrush against my lag, clean, crisp."
217,3,9,"TXT",26,"0",0,"'n»e sky grows lighter, the two of us keep walking toward the mountains of Nevada. ’Too far away, but a gbal, nonethelsee. ^Tbe clouds over Arisona are now shot through with pink, orange spreads across the horison, the land is rosy. detailed."
218,3,9,"ME",0,"4",0,"PtMMSMpagag"
219,0,0,"B",0,"0",0,
220,4,0,"ME",0,"0",0,"Outdoorál"
221,4,0,"PI",0,"0",0,"4wwyîO,1W2"
222,4,9,"HL",0,"0",0,"Scenes from the river."
223,4,9,"PH",0,"0",0,"ThrM canoM, riggad with a plastic tarp for a sail, oruisa across Lake Mtic^ava."
224,4,9,"TXT",27,"0",0,"Tb* wind is light, not cold, hot warm. The Nevada hills in front of us ars now topped in red-orange sunlight, lava snow caps. It is getting too light too fast. Tlus is my first dawn outdoors in years, up before the sun."
225,4,9,"TXT",28,"0",0,"We sit. <m f rock and watch the sunrise. There are no pretensions, either by us or the land. Thaw are no lush ferns or carpeting moss, no towering redwoods to block the mountains for the trees. Just"
226,4,9,"TXT",28,"0",0,"hard rock, shards of gravsL cactqs. sage. We ars only a humfawd fsst above the level of Lake Mojave itwo hundred above the “Colorado River” but we can sea down the valley thirty milee."
227,4,9,"TXT",29,"0",0,"The plain shoots away from the river and taker off up the mountains, capping wkh crags, lava red now almost to te valley. Ibe plains look like (me could run down them forever, never tiring, dashing for the river."
228,4,9,"TXT",30,"0",0,"Finally, the sun hits our rock, bright in our eyes. ."
229,4,0,"AT",0,"0",1,"JANUARY"
230,4,0,"AT",0,"0",1,"W I II \\ 1 M \KKM) \ I II VS I"
231,4,0,"AT",0,"0",1,"40%"
232,4,0,"AT",0,"0",1,"OFF"
233,0,0,"NA",0,"0",0,"I l-;l . I i h. I n I \1 \'- I1-! |i I -"
234,0,0,"NA",0,"0",0,". ' \	■ ■ 1 , I \ I i , II 11 r N ■ 11"
235,0,0,"NA",0,"0",0,"'HIM 1 ; i \1N"
236,0,0,"NA",0,"0",0,"Ml \ S SfllK I S"
237,0,0,"NA",0,"0",0,"a"
238,0,0,"NA",0,"0",0,"I \I)I1 s"
239,4,0,"AT",0,"0",1,"rops"
240,0,0,"NA",0,"0",0,"e"
241,4,0,"AT",0,"0",1,"C HII DKl \ S APP AHII"
242,0,0,"NA",0,"0",0,"e"
243,4,0,"AT",0,"0",1,"SKIWI AK"
244,0,0,"NA",0,"0",0,"a"
245,4,0,"AT",0,"0",1,"A I 111 I I K SHOTS"
246,0,0,"NA",0,"0",0,"a"
247,4,0,"AT",0,"0",1,"SKI"
248,4,0,"AT",0,"0",1,"I iPMi \ I"
249,0,0,"NA",0,"0",0,"a"
250,4,0,"AT",0,"0",1,"I i:\\is KAC Ki: I S"
251,4,0,"AT",0,"0",1,"AM) MOKi:"
252,4,0,"AT",0,"0",1,"MIS( I I 1 AM ()l S I I I MS"
253,0,0,"NA",0,"0",0,"I III ( K I i >K I III M’l ( I \l ! \(.N I IIK( II (,llnl I I III N 1 ( KI"
254,0,0,"B",0,"0",0,
255,4,9,"TXT",30,"0",0,"The i^ow has cMssipetsd. nowa fadnt pink. Tha plain is now lit ^o, shadows of sagebrush strstchhig back toward the hills. I try not to think."
256,4,9,"TXT",31,"0",0,"As we hsad back down tha wash lor camp. I find a bone, bleached white. smaU. like a chicken leg. I stick it in tha bond of my hat with the feather already there."
257,4,9,"TXT",32,"0",0,"Standing motionless tm minutes, we watch a covey of quail as they gurgle iq> the wash past us. The name of my scIkmI has not yet edged my memory."
258,4,10,"HL",0,"0",0,"Kids get house in divorce case"
