"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; C = comic strip",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
110,1,0,"AT","0",0,1,"V	1 uw* SiK"
111,1,0,"AT","0",0,1,"Winds n.w. 15 mph 1 ft. seas 6 it n.vv swells"
112,2,0,"PI","0",0,0,"Friday, December 6. 1991"
113,2,0,"PI","0",0,0,"Mustang Daily"
114,2,0,"SH","0",0,0,"EWorld ^Nation estate"
115,2,5,"HL","0",0,0,"Armed roller wishes Keating faces 10 years all merry Christmas junk bond fraud"
116,2,5,"TXT","1",0,0,"COPENHAGEN, Denmark (AP) — The masked man pointed a gun at bank workers, collected $21,000 and called out, “Have a mexry Christmas!” Then he rode ofi on a bicycle, Danish newspapers reported Thursday."
117,2,5,"TXT","2",0,0,"Police said they believe the man who robbed Den Danske Bank on Wednesday in Taarbaek, nine miles north of Copenhagen, is the same one who took $12,500 a month ago from a bank in a town just west of Copenhagen."
118,2,5,"TXT","3",0,0,"On that occasion, the robber said to bank employees, “Groodbye, and all my best for the rest of the day.” He, too, rode away on a bicycle."
119,2,6,"HL","0",0,0,"Japanese cities cost more for expatriates"
120,2,6,"TXT","1",0,0,"GENEVA (AP) — The Japanese cities of Tbkyo and Osaka remain the world’s most expensive sites for expatriates; according to a survey published Thursday."
121,2,6,"TXT","2",0,0,"With New York as the base of 100, Tokyo scored 171 and Osaka 157, the survey said. Libreville in the West African state of Gabon and Brazzaville in the Congo followed, at 134 and 133 respectively."
122,2,6,"TXT","3",0,0,"California living was cheaper than the New York base, with a 95 score for Los Angeles and 94 for San FVancisco. In the list of 97 cities, Los Angeles was 54th and San Francisco 57th in living expenses for expatriates. Mexico City was 78th, with a score of 80 compared to New York."
123,2,6,"TXT","4",0,0,"The cost of living in West Europe continued to be higher than in the United States, while most Latin American cities were still relatively cheap, the report said."
124,2,6,"TXT","5",0,0,"Th2 Indian city of Bombay, at 61, was best value for expatriates of the 97 cities surveyed."
125,2,6,"ME","0",8,0,"See WORLD, page 8"
126,2,7,"TXT","1",0,0,"LOS ANGELES (AP) — Charles Keating Jr., the free-spending, politically connected executive whose rise and fall came to epitomize the S&L debacle, faces up to 10 years in prison for defrauding junk bond investors."
127,2,7,"TXT","2",0,0,"Keating sat grim-faced in Superior Court on Wednesday, his 68th birthday, as a jury found him guilty of 17 of 18 counts of duping investors about the safety of junk bonds sold through his now-collapsed Lincoln Savings & Loan."
128,2,7,"TXT","3",0,0,"The bonds became worthless when Lincoln went under in a collapse that cost taxpayers $2.6 billion, the most expensive government bailout in U.S. history."
129,2,7,"TXT","4",0,0,"“It’s the nicest birthday present he could give us — to find the S.O.B. guilty and send him to jail,” exulted Jeri Mellon, leader of a support group for those who bought the bonds. She lost $40,000 in Lincoln’s collapse."
130,2,7,"TXT","5",0,0,"“There is a God!” cried Mimi Hines, who said her junk bond losses cost her a $1.2 million Malibu home. “It would be a gi*eat birthday present for him if he gets 68 years. Why, 99 years wouldn’t be long enough for this man.”"
131,2,8,"HL","0",0,0,"Pan Am shutdown puts employees out of work"
132,2,8,"TXT","1",0,0,"MIAMI (AP) — Pan Am passengers scrambled to re-book flights during the heaviest travel time of the season and 7,500 employees found themselves out of work three weeks before Christmas when the once-glorious airline went under."
133,2,8,"TXT","2",0,0,"The airline, which pioneered commercial aviation, abruptly shut down Wednesday after losing its battle to erase years of losses."
134,2,8,"TXT","3",0,0,"Chanda Sharan of Jonesboro, Ga., sat in a baggage area at Miami International Airport with her two young daughters on their interrupted flight from Atlanta to Mexico City."
135,2,8,"ME","0",10,0,"See NATION, page 10"
136,2,9,"HL","0",0,0,"Indian leaders claim team names racist"
137,2,9,"TXT","1",0,0,"BURLINGAME, Calif. (AP) — The use of Indian names and symbols by sports teams is a racist' attack on Native American culture, said Indian leaders attending a national conference."
138,2,9,"TXT","2",0,0,"The leaders are continuing to pressure sports teams such as the Atlanta Braves and Washington Redskins to change their names and stop using Indian symbols."
139,2,9,"TXT","3",0,0,"“If we can’t get white America to understand a basic issue of human respect, how are we going to move on to more substantive issues?” Bill Means, executive director of the Minneapolis-based International Indian TVeaty Council, asked Wednesday."
140,2,9,"TXT","4",0,0,"“We are the only race that are used as mascots.”"
141,2,9,"TXT","5",0,0,"The Atlanta Braves’ tomahawk chop and the use of Indian names and symbols by other teams is offensive, said leaders attending a workshop of the annual convention of the National Congi’ess of American Indians."
142,2,9,"TXT","6",0,0,"“Our religion and tradition need to be recognized, and the negative imagery of mascots and the commercial use of Indian names create a basis of misunderstanding of our people, a misunderstanding which breeds prejudice,” said Michael Haney of the United Indian Nations of Oklahoma."
143,2,10,"HL","0",0,0,"Artists decry removal of nude art sculpture"
144,2,10,"TXT","1",0,0,"LOS ANGELES (AP) — The removal from a federal building of a nude sculpture, criticized as a “shrine to pedophiles,” has drawn charges of censorship from members of the art community and the sculptor himself."
145,2,10,"TXT","2",0,0,"The General Services Administration placed the sculpture of a nude woman and a baby gjrl in storage after Rep. Edward R. Roybal, D-Calif., whom the building will be named after, criticized the artwork by"
146,2,10,"ME","0",8,0,"see ST.VTK, page 8"
147,2,11,"HL","0",0,0,"A recipe for low-fat eggnog for the holidays"
148,2,11,"BL","0",0,0,"By Cyndi Estok and Nancy Simmons"
149,2,11,"BL","0",0,0,"Special to the Daily"
150,2,11,"TXT","1",0,0,"Thanksgiving is the beginning of the holiday season and the end to healthy eating habits for many people. Below are some suggestions that may help if you are trying to maintain your weight through the season."
151,2,11,"TXT","2",0,0,"•	Don’t overeat. When you feel full — STOP! You don’t need to stuff yourself because it is the holidays."
152,2,11,"TXT","3",0,0,"•	Remove skin and visible fat from meat."
153,2,11,"TXT","4",0,0,"•	Try low-fat or nonfat sour cream and mayonnaise in your favorite dips."
154,2,11,"TXT","5",0,0,"•	Use Cool Whip in place of whipped cream."
155,2,11,"TXT","6",0,0,"•	Replace high-fat ice creams with low-fat ice cream, ice milk or frozen yogi}rt."
156,2,11,"TXT","7",0,0,"•	Bake or steam vegetables instead of preparing them in casseroles."
157,2,11,"TXT","8",0,0,"•	Choose light poultry meat instead of dark meat."
158,2,11,"TXT","9",0,0,"•	Use cooking spray to grease baking pans and also to saute vegetables."
159,2,11,"TXT","10",0,0,"•	Prepare hard rolls in place of crescents."
160,2,11,"TXT","11",0,0,"•	Fix low-fat eggnog (see recipe below) rather than traditional eggnog. Eggnog is a"
161,2,11,"ME","0",11,0,"See FOOD, page 11"
162,2,0,"AT","0",0,1,"As a special gift to all of our customers to thank you (or ypur past and"
163,2,0,"AT","0",0,1,"coiUintüig support,"
164,2,0,"AT","0",0,1,"£1 Corral Bookstore will deduct 20% from the {»rice of selected merchandise."
165,2,0,"AT","0",0,1,"♦ ♦♦"
166,2,0,"AT","0",0,1,"a"
167,2,0,"AT","0",0,1,"Discounted 20% for the sale will be Christmas gifts. Gift Books, School Supplies, Stationery,"
168,2,0,"AT","0",0,1,"Art, f^tsdt and Technical Supplies, Photo Supplies, Gift Wrap, Greeting Cards, Calendars, o Clothing, Food Items and much | - ™ore from our regular stock."
169,2,0,"AT","0",0,1,"Computer products, class rings, class schedules, university catalogs, m^azines, textbooks and special orders are not indued due to their already low prices. Hurry for best sélection!"
170,2,0,"AT","0",0,1,"FREE GIFT WRAPPING!"
171,0,0,"B","0",0,0,
172,0,0,"B","0",0,0,
173,3,0,"PI","0",0,0,"Mustang Daily"
174,3,0,"PI","0",0,0,"Friday, December 6, 1991"
175,3,1,"HL","0",0,0,"TREES"
176,0,0,"NA","0",0,0,"‘ tL* t'f*' ■"
177,0,0,"NA","0",0,0,"*F ""*	'"
178,0,0,"NA","0",0,0,"^^r:>v"
179,0,0,"B","0",0,0,
180,3,1,"PH","0",0,0,"RAY SANCHEZ/Mustang Daily"
181,3,1,"PH","0",0,0,"Matt Kramer, standing among four acres of trees, is proud of how his favorite seedling has grown."
182,3,1,"ME","0",-1,0,"From paj>c 1"
183,3,1,"TXT","13",0,0,"Linguist, who also managed the tree farm for three yeaj’s, said “Rarely do we make a profit.” He said some of the money is used to pay back the debt to the Foundation."
184,3,1,"TXT","14",0,0,"DeLasaux said each quarter three students sign up for this project. They work on the tree farm doing maintenance duties."
185,3,1,"TXT","15",0,0,"He said the students are in demand throughout the summer growing season when they must shape the trees four or five times, as needed."
186,3,1,"TXT","16",0,0,"Currently, only four acres of"
187,3,1,"TXT","16",0,0,"Poly agricultural land are planted with Christmas trees, although DeLasaux said four others are available."
188,3,1,"TXT","17",0,0,"“At the moment, the thought is that we don’t want to plant more trees because we don’t want to appear too commercial and compete with local growers,” he said. “First and foremost, the project is supposed to be an educational experience.”"
189,3,1,"TXT","18",0,0,"Curtis Edson, the tree farm manager and a natural resources senior, said, “A lot more is involved than people think. It doesn’t just entail selling the"
190,3,1,"TXT","18",0,0,"trees. It takes a lot of time and effort to maintain (the trees).”"
191,3,1,"TXT","19",0,0,"DeLasaux said the students involved learn everything there is to know about growing the trees, particularly overall maintenance and how to manage this type of project."
192,3,1,"TXT","20",0,0,"In February, Edson said the stumps left from the cut trees wtII be removed, the land tilled and seedlings planted to continue the growing cycle."
193,3,1,"TXT","21",0,0,"The farni is located on Sten-ner Creek Road, just off Highway 1. For more information call 756-2702."
194,3,12,"HL","0",0,0,"Rain, rain come again"
195,3,12,"HL","0",0,0,"Local farmers, weather watchers hope for wet December forecast"
196,3,12,"BL","0",0,0,"By Christy Rinauro"
197,3,12,"BL","0",0,0,"Staff Writer"
198,3,12,"TXT","1",0,0,"With the possibility of rain on Saturday dominating weather reports, local agriculturists and weather watchers are hoping to see the start of the accumulation of the area’s December average of four inches of precipitation."
199,3,12,"TXT","2",0,0,"“Historically, our rain starts in December. Heavy months are usually January and February,” said Ron Munds, member of the San Luis Obispo Water Conservation Council."
200,3,12,"TXT","3",0,0,"The current drought has been a shock to Munds. When he moved into town in 1972, he said it rained buckets."
201,3,12,"TXT","4",0,0,"TV)day, as the area enters its sixth year of drought, Munds said he can hardly remember what green is."
202,3,12,"TXT","5",0,0,"Munds said the area’s rainfall was less than one inch in November. Normal rainfall for November is 2.7 inches. Average rainfall figures were computed from statistics from 1970 to 1990."
203,3,12,"TXT","6",0,0,"“Obviously, W’e’re substantially behind. Unless we have a major change in our weather"
204,3,12,"TXT","6",0,0,"pattern, we’ll be in serious trouble. It seems our high pressure is not breaking down and is drifting north of us,” Munds said."
205,3,12,"TXT","7",0,0,"Jim Greil, a professor in the crop science department, said, “Statistically, the odds are g(x)d for normal rainfall, but I certainly don’t have a crystal ball.”"
206,3,12,"TXT","8",0,0,"Greil said the weather has been fairly cooperative for the growers of the county’s main cash crop — wine grapes."
207,3,12,"TXT","9",0,0,"Without rain or frost appearing at unfortunate times of the season to damage wine grape crops, wine growers are looking to produce one of their best wines this year."
208,3,12,"TXT","10",0,0,"“The yields are still good and the quality is good, but the big problem is the availability of water,” Greil said."
209,3,12,"TXT","11",0,0,"As the wine grapes are currently in a dormant period, further rainfall will not affect them. However, there is concern for the area’s leaf lettuce, strawberry, broccoli, cauliflower and brussel sprout crops. Greil said if rain isn’t dropped upon these fields soon, “well be in a bad way.”"
210,3,0,"AT","0",0,1,"Join CALENDAR GIRL Now and Save."
211,3,0,"AT","0",0,1,"Start Your Membership in January!"
212,3,0,"AT","0",0,1,"3 MONTHS ONLY $49.00"
213,0,0,"B","0",0,0,
214,0,0,"B","0",0,0,
215,3,0,"AT","0",0,1,"6 MONTHS ONLY $99.00"
216,3,0,"AT","0",0,1,"bales End Mon. Dec. 16th"
217,3,0,"AT","0",0,1,"“Price does not include $25 New Membership Fee"
218,3,0,"AT","0",0,2,"College Book Company Presents"
219,0,0,"B","0",0,0,
220,4,0,"PI","0",0,0,"Friday, December 6, 1991"
221,4,0,"PI","0",0,0,"Mustang Daily"
222,4,0,"SH","0",0,0,"COMMENTARY"
223,4,13,"HL","0",0,0,"Christmas season: the time to be merry, or the time to get jipped"
224,4,13,"BL","0",0,0,"By Laura Carrillo"
225,4,13,"TXT","1",0,0,"Did you know Jesus Christ was a Capricorn with Sagittarian tendencies? He was reportedly bom on Dec. 25, which puts him at the beginning of Capricorn, but close to the end of Sagittarius."
226,4,13,"TXT","2",0,0,"Rumor has it that he was actually born in August, and he is really a Leo. But I like to think he was a Capricorn."
227,4,13,"TXT","3",0,0,"That same rumor says that they chose Dec. 25 as his birthday because it would make for a nice convenient holiday in the middle of winter."
228,4,13,"TXT","4",0,0,"I don’t believe it, though, because I am a Capricorn born the day after Christmas and, well, it’s comforting to know that Jesus had a rotten birthday too."
229,4,13,"TXT","5",0,0,"For those Christmas babies out there, you know what I am talking about! It is a special curse that is beset on us from the instant we are delivered."
230,4,13,"TXT","6",0,0,"Your birthday is inconsequential compared to Christmas. You want presents, well too bad. No one can remember your birthday and even if they could they wouldn’t be able to afford it."
231,4,13,"TXT","7",0,0,"“What do you need birthday presents for, you’ve got Christmas presents?” I get that all the time. Or they say, “This is your Christmas and birthday"
232,4,14,"HL","0",0,0,"Other views ot abortion issue"
233,4,14,"TXT","1",0,0,"1 am a Christian white male ilepublican in the middle class. That makes me one of the most hated people on campus! 1 would like to respond to Fran-ceska Gleason’s commentary (Dec. 4) regarding the “silent majority” and abortion rights."
234,4,14,"TXT","2",0,0,"Ms. Gleason mentioned several times the idea of constitutional rights to privacy. I feel many people who flippantly use this term have never read the constitution because no such rights exist. It is a myth. If a child is being molested in the apartment next door to mine and I do nothing about it because I respect the right to privacy of the child molester, then I would be considered by most to be partially guilty of the crime. It would be ludicrous to not at least call the police. What claim then, do abortion rights activists have on such a right if child molesters do not?"
235,4,14,"TXT","3",0,0,"The fetus is referred to by Ms. Gleason as a group of cells. Did you ever stop to think that all of us are a group of cells. You just have quite a few more than a fetus. Also, the DNA chains which define every person as a unique individual are all in place from the moment of conception. I agree that a woman has the every right to control her body, but the fetus in her is not part of that body and the majority of the doctors"
236,0,0,"B","0",0,0,
237,0,0,"B","0",0,0,
238,0,0,"NA","0",0,0,"■ \"
239,0,0,"NA","0",0,0,"V"
240,0,0,"B","0",0,0,
241,0,0,"B","0",0,0,
242,0,0,"B","0",0,0,
243,0,0,"B","0",0,0,
244,0,0,"NA","0",0,0,"• V'"
245,0,0,"NA","0",0,0,"V"
246,0,0,"NA","0",0,0,"S >"
247,0,0,"NA","0",0,0,"X"
248,0,0,"NA","0",0,0,"			1"
249,0,0,"NA","0",0,0,"		V -SL \ 1 \ T> TO \ 1	"
250,0,0,"NA","0",0,0,"	/	\	"
251,0,0,"NA","0",0,0,"	^ /		^ 1"
252,0,0,"NA","0",0,0,"			1"
253,0,0,"NA","0",0,0,"		1.	"
254,0,0,"NA","0",0,0,"ti"
255,4,13,"TXT","7",0,0,"present!” Yeah right."
256,4,13,"TXT","8",0,0,"Don’t let them get away with it. Fight back."
257,4,13,"TXT","9",0,0,"Fam.ily, friends and acquaintances have no right to ignore and overlook us during the holidays. Don’t they realize that the highest suicide rates are"
258,4,13,"TXT","9",0,0,"during Christmas? I would also venture to guess that most of these miserable unfortunates are Capricorns or Sagittaria ns."
259,4,13,"TXT","10",0,0,"I have a solution. I just buy myself things at Christmas and tell people that their birthday presents were also their"
260,4,13,"TXT","10",0,0,"Christmas presents and they should be glad."
261,4,13,"TXT","11",0,0,"If you get frustrated or depressed during the holiday, due to your untimely birthday, just remember what it means to be a Capricorn. Capricorns are half goat and half fish (not a"
262,4,13,"TXT","11",0,0,"pretty animal, but a successful one). They are the sign of ambition and loyalty and they look good in red and green. They are also stingy capitalists and you can see why. It all stems from a deprived childhood."
263,4,13,"TXT","12",0,0,"Let’s not forget that Christmas babies are also Sagit-tarians, or Capricorns with Sagittarian tendencies. Sagittarius is half horse, half man and carries a bow and arrow. A much more pleasing animal to look at than the Capricorn (that’s where I get my good looks). They have a zest for life and are one of the most understanding and easygoing signs (that’s where I get my laziness)."
264,4,13,"TXT","13",0,0,"Anyhow, you combine the two and you have a perfectly balanced person with the best of both worlds."
265,4,13,"TXT","14",0,0,"So what if you get jipped every year? These are characterbuilding experiences that you should be grateful for. It is nothing a lifetime of therapy can’t fix!"
266,4,13,"BL","0",0,0,"Laura Carrillo is a journalism\ senior with a concentration in‘^ public relations. This is hcj J second quarter re/X)rting for AIus | tang Daily.	;"
267,4,0,"SH","0",0,0,"LETTERS TO THE EDITOR"
268,4,14,"TXT","3",0,0,"in this nation would agree with me."
269,4,14,"TXT","4",0,0,"The last of Ms. Gleason’s points that I would like to address is the idea that women will have abortions whether they are legal or not. If society was to follow that line of logic, then we might as well build motels that supply contraceptives and sanitary conditions where men could take the women that they intend to rape. Rape would be safer for both parties involved since although rape is illegal, it takes place anyway."
270,4,14,"TXT","5",0,0,"I am pro-choice. I believe that all women have the right to ch(x)se whether or not to reproduce, but that choice has to be made before you get into bed with that special somebody and not after you get pregnant."
271,4,14,"BL","0",0,0,"Brent Hardgrave Environmental Engineering"
272,4,15,"TXT","1",0,0,"Recently, two full-page commentaries have advocated a woman’s right to choose. The right to choose to murder has serious consequences for society. Of course, if we apply R. Wayne Ball’s open season on “parasites,” we could solve a great many problems, including overpopulation, welfare and homelessness (not to mention lawyers!)."
273,4,15,"TXT","2",0,0,"However, these wonderful benefits aside, murder is illegal, and abortion is the premeditated murder of a dependent person. Perhaps many of us are still “dependent.” Hmmm..."
274,4,15,"BL","0",0,0,"Lynne Hannah Math"
