"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTXTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
93,2,7,"TXT","1",0,,"WASHINGTON (AP) — The X-ray laser, the death beam weapon that gave President Reagan’s 1983 Strategic Defense Initiative its Star Wars nickname, is officially dead after years of research and hundreds of millions of dollars of investment."
94,2,7,"TXT","2",0,0,"X-ray lasers, powered by hydrogen bomb explosions in space that would flash intense beams of light across hundreds of miles of space, were envisioned by their promoters as the ultimate weapon against a Soviet nuclear missile attack."
95,2,7,"TXT","3",0,0,"No X-ray laser weapon ever was produced, nor was its feasibility ever established. 'The once-secret project began heading toward extinction in the late 1980s."
96,2,8,"TXT","1",0,0,"LOS ANGELES (AP) — Riot-scarred neighborhoods were peaceful but tense Sunday following the withdrawal of 4,000 Marines and regular Army soldiers."
97,2,8,"TXT","2",0,0,"The pullout, and fear that 10,000 National Guard troops will soon follow, left some residents concerned the city’s undermanned and demoralized Police Department would be hard-pressed to keep the peace."
98,2,8,"TXT","3",0,0,"“The police force is understaffed to begin with. Even though things are starting to settle down, we feel there’s a lot of tension out there,” said Ricki Schermerhorn of the group Mothers of All Colors Unite.	^"
99,2,8,"TXT","4",0,0,"The multi-ethnic group held a Mother’s Day news conference to urge officials to keep the National Guard in the city as long as necessary."
100,2,8,"TXT","5",0,0,"“We want to keep our city safe. We’re all in this together,” Ms. Schermerhorn said."
101,2,8,"TXT","6",0,0,"A police spokesman said there were no reports of violence or major crime on Sunday, but he said officers have reported an increase in sniper fire since the riot."
102,2,8,"TXT","7",0,0,"Officer Bill Frio estimated officers and troops have drawn sniper fire on 20 or more occasions, although he had no official statistics on such incidents."
103,2,9,"HL","0",0,0,"Group critiques status of Asians’ civii rights"
104,2,9,"TXT","1",0,0,"SAN FRANCISCO (AP) — Asian Americans still face widespread prejudice and bars to equal opportunity but aren’t part of the nation’s program to ensure civil rights, activists said."
105,2,9,"TXT","2",0,0,"Afl*r the Los Angeles riots — in which many businesses owned by Korean Americans were destroyed — President Bush met with black and Hispanic leaders but not Koreans, said Dennis Hayashi, executive director of the Japanese American Citizens League."
106,2,9,"TXT","3",0,0,"“That meeting included no Asian Americans,” he said."
107,0,0,"NA","0",0,0,"gjs S Í"
108,2,0,"SH","0",0,0,"WELLNESS"
109,2,0,"SH","0",0,0,"WELLNESS"
110,2,10,"HL","0",0,0,"Listening can help enhance relationships"
111,2,10,"BL","0",0,0,"By Jennifer Harrison Special to the Daily________"
112,2,10,"TXT","1",0,0,"Think about a social situation that doesn’t involve communication. Think about it... everything we do in life involves communication."
113,2,10,"TXT","2",0,0,"As students, we spend a great deal of our time devoted to listening. We listen to professors, public, peers, television and radio."
114,2,10,"TXT","3",0,0,"Statistics reveal the majority of our time is spent listening, but the question to ask yourself is how are you listening? Actively? Passively? Effectively?"
115,2,10,"TXT","4",0,0,"I find it surprising that we are constantly reinforced to improve our writing and reading skills, but not our listening. Ek> we feel our listening potential has been reached?"
116,2,10,"TXT","5",0,0,"The fact is most of us are relatively poor listeners. Given the amount of time we engage in listening, the improvement of this skill would seem well worth the required effort."
117,2,10,"TXT","6",0,0,"Listening is not an easy task. It takes time and energy to listen effectively. However, through the power of listening, friendships and other relationships can blossom and grow positively."
118,2,0,"AT","0",0,1,"Fast Contacts for SLO People"
119,2,0,"AT","0",0,1,"Offering great deals on colored contact lenses"
120,2,0,"AT","0",0,1,"thru May 15th (can for free try on)"
121,0,0,"B","0",0,0,
122,2,0,"AT","0",0,1,"Optometrie Service! of Sin Lull Obitpo"
123,2,0,"AT","0",0,1,"DavW A. Schultz. O.D."
124,2,0,"AT","0",0,1,"Contoct Lenses and Unique Eyewear"
125,2,0,"AT","0",0,1,"778 Marsh Street, SLO 543-5200"
126,2,0,"AT","0",0,2,"RESERVE OFFICERS' TRAINING CORPS"
127,2,0,"AT","0",0,2,"ms."
128,2,0,"AT","0",0,2,"MY DEGREE GOT ME THE INTERVIEW. ARMY ROTC GOT ME THE JOB."
129,2,0,"AT","0",0,2,"Army ROTC classes provide the leadership skills sought by top employers. Register this term for an Army ROTC elective."
130,2,0,"AT","0",0,2,"For additional information about an exciting career with marketable skills, call Captain Ken Catello and inquire about enrolling in MSC 216 (Basic Military Skills) or MSC 211 (Current MiUtary Affairs). 756-7682/7690."
131,2,0,"AT","0",0,2,"ARMY ROTC"
132,2,0,"AT","0",0,2,"THE SMARTEST COLLEGE COURSE YOU CAN TAKE."
133,2,0,"AT","0",0,3,"Mfe have San Luis Obispo County's"
134,2,0,"AT","0",0,3,"Largest Selection of Mountain & Road Bikes!"
135,2,0,"AT","0",0,3,"ÀRT"
136,0,0,"B","0",0,0,
137,2,0,"AT","0",0,3,"cveu"
138,2,0,"AT","0",0,3,"198 South Street San Luis Obispo, CA (805) 543-4416"
139,2,0,"AT","0",0,3,"2179 10th Street-Los Osos, CA (805) 528-5115"
140,0,0,"NA","0",0,0,"i“ÂtvT|"
141,2,0,"AT","0",0,3,"IntefiinW"
142,2,0,"AT","0",0,3,"LOS OSOS 217910th St."
143,2,0,"AT","0",0,3,"528-5115"
144,3,0,"PI","0",0,0,"MUSTANG Daily"
145,3,0,"PI","0",0,0,"Monday, May 11, 1992"
146,3,11,"HL","0",0,0,"Public Safety warns Poly of campus crime"
147,3,11,"BL","0",0,0,"By Noel Eidsmore"
148,3,11,"BL","0",0,0,"Staff Writer	________"
149,3,11,"TXT","1",0,0,"California State University crime statistics show Cal Poly as one of the safest campuses in the CSU system."
150,3,11,"TXT","2",0,0,"Unfortunately, this may cause some students to think less about their safety than they should."
151,3,11,"TXT","3",0,0,"“People need to think about it all the time,” said Joseph Risser, Director of ^bic Safety."
152,3,11,"TXT","4",0,0,"“They need to think about safety first rather than the convenience of ‘Well, ni just cut through here,’ ” he said."
153,3,11,"TXT","5",0,0,"Cal Poly had one violent crime reported in 1991. The highest number reported was 50, at CSU Northridge."
154,3,11,"TXT","6",0,0,"As far as property is concerned, Cal Poly’s parking lots seem to be getting safer. Thefts from motor vehicles are down from 217 in 1990 to 125 in 1991. Only seven cars were reported stolen last year."
155,3,11,"TXT","7",0,0,"Bikes thefts have decreased as well, with 61 reported stolen in 1991, compared to 93 in 1990."
156,3,11,"TXT","8",0,0,"Risser said that thefts of bikes and cars go in cycles, and that the police pay special attention to parking lots when problems start appearing."
157,3,11,"TXT","9",0,0,"Many of the car thefts are committed by outside groups, he said."
158,3,11,"TXT","10",0,0,"All of these statistics are compiled from reported offenses. Risser said the department tries hard to encourage people to report any t)q)e of crime, but that"
159,3,11,"TXT","10",0,0,"the negative image of police held by some segments of the public can make that hard."
160,3,11,"TXT","11",0,0,"Thefts from campus buildings were up from 91 in 1990 to 123 in 1991."
161,3,11,"TXT","12",0,0,"Risser said that this may be because the campus key-security system is not a good one. He said there are a lot of people with keys who can leave doors open, or feel safe and don’t bother to lock them."
162,3,11,"TXT","13",0,0,"Of crimes against people. Cal Poly was second-highest in reported sex offenses in 1991 with 18, one up from the previous year, and nine more than 1989."
163,3,11,"TXT","14",0,0,"San Diego State reported 25."
164,3,11,"TXT","15",0,0,"Risser said that he didn’t know if people were reporting them more, or if they were increasing in frequency."
165,3,11,"TXT","16",0,0,"Cal Poly rates well, compared to national statistics from a USA Tbday survey, which show that in the West, there are 7.2 violent crimes per every 10,000 students."
166,3,11,"TXT","17",0,0,"The survey also said that the safest campuses are those with between 10,000 and 20,000 students in a city under 100,000."
167,3,11,"TXT","18",0,0,"Risser said that most students don’t have safety as a priority, because of the location of the school and the small number of incidents."
168,3,11,"TXT","19",0,0,"“People get the impression that it’s safe here, so (they) don’t have to think about where (they’re) walking,” he said. “That’s not d good idea.”"
169,3,3,"HL","0",0,0,"BAKER"
170,3,3,"ME","0",-1,0,"From page 1"
171,3,3,"TXT","14",0,0,"One example is the microwave technology loeing taught. It exposes students to the practical hardware seen in the industry, professor Neill Clark said."
172,3,3,"TXT","15",0,0,"Clark worked at Hewlett Packard for several years before coming to Cal Poly. His connections enable the department to acquire valuable equipment for the students’ practical education, said Kevin Wright, an ET senior."
173,3,3,"TXT","16",0,0,"One of the senior projects Baker saw was done by the Society of Automotive Engineers. Of the group’s seven members, three are ET majors."
174,3,3,"TXT","17",0,0,"The group designed and built a vehicle that may revolutionize the stability of a car, Vince Ter-zian, an ET senior told Baker. It is being tested on the General Motors test track, Terzian said."
175,3,3,"TXT","18",0,0,"“Without the ET majors, this vehicle would not have been able to be produced,” Terzian said."
176,3,3,"TXT","19",0,0,"Wright called engineering"
177,3,3,"TXT","19",0,0,"technology “the handshake between theory and production.”"
178,3,3,"TXT","20",0,0,"He said that ET graduates-have the engineering education to understand the designs, and with their technology background, they also know if the idea can actually be produced."
179,3,3,"TXT","21",0,0,"At the end of the tour, Michael Cruz, an ET senior, presented Baker with a petition to save the department. It was signed by 5,479 Cal Poly students and faculty members. It was also signed by an additional 61 Cuesta College faculty and staff members."
180,3,3,"TXT","22",0,0,"“Of the 500 students I personally talked to, maybe 12 wouldn’t sign the petition for whatever reason,” Cruz said before the tour."
181,3,3,"TXT","23",0,0,"“I think that it is important that Baker, Koob and Lee realize that students are willing to skim from their departments to help out others,” he said."
182,3,12,"HL","0",0,0,"Arianna Huffington visits SLO to help husband’s campaign"
183,3,12,"BL","0",0,0,"By Cynthia Nelson Staff Writer"
184,3,12,"TXT","1",0,0,"After writing five books, three of which made the bestseller list, Arianna Stas-sinopoulos Huffington is helping her husband, Michael, with his Republican campaign for Congress."
185,3,12,"TXT","2",0,0,"She spoke about her books and campaigning efforts during an interview Thursday."
186,3,12,"TXT","3",0,0,"Huffington began her writing career when she studied at Cambridge after moving from her native city of Athens, Greece."
187,3,12,"TXT","4",0,0,"She said she did not want to write, but was encouraged to do so after speaking on women’s rights in England."
188,3,12,"TXT","5",0,0,"She completed her first book, “The Female Woman,” which she said was difficult because she was not confident in her writing. The book later became a best seller."
189,3,12,"TXT","6",0,0,"“After that, I knew I would stay a writer,” Huffington said."
190,3,12,"TXT","7",0,0,"The profession, which she said she eryoys, allows her to express her ideas. It is also a great way to organize her thinking."
191,3,12,"TXT","8",0,0,"When working on a book, she said, “\bu discover what you will say. It is a surprise. I never know how my book will come out until I am done,” she said."
192,3,12,"TXT","9",0,0,"This was the case in her latest book, “Picasso: Creator and Destroyer,” which became a best seller and an international controversy. As her research continued she saw a man far from the world’s popular portrayal of Pablo Picasso."
193,3,12,"TXT","10",0,0,"Huffington chose to write about Picasso because she felt he was a summing up of our century."
194,3,12,"TXT","11",0,0,"His life and art represented some of the major battles of"
195,3,12,"TXT","11",0,0,"men and women, as well as man and God, she said. This was reflected in his work."
196,3,12,"TXT","12",0,0,"“Writing about him is writing about our century. Every major battle is in his life and art,” she said."
197,3,12,"TXT","13",0,0,"In addition to her writing, Huffington campaigns for her husband while speaking on cultural and political issues. When she is not speaking, she spends a great deal of time meeting with people and listening to their stories."
198,3,12,"TXT","14",0,0,"She said she and her husband go wherever there are crisis points in the community, such as homeless shelters, children’s homes and transition homes."
199,3,12,"TXT","15",0,0,"The campaigning does not wear her out. She said, “I love the heart connections you make. It matters how open you are with somebody so that connections happen right away.”"
200,3,12,"TXT","16",0,0,"However, when she needs a diversion from the negative aspects of the campaign, she spends time with her daughters, Isabella, 1, and Christina, 3. She also depends on God to give her the strength she needs. “There are so many ways to recharge myself,” she said."
201,3,12,"TXT","17",0,0,"One of the most rewarding aspects of the campaign is getting Michael’s message across, she said. Michael feels that it is not constitutionally right to leave a $4 trillion debt to future generations."
202,3,12,"TXT","18",0,0,"The Huffingtons are also receiving approval of their statement of the need to completely overhaul the American political system, she said. “The people who are part of the problem will not be part of the solution,” she said."
203,3,12,"TXT","19",0,0,"The Huffingtons believe that reforms of Congress can be brought about by removing the old school and instituting term"
204,0,0,"NA","0",0,0,"4."
205,0,0,"NA","0",0,0,"- ' it''"
206,0,0,"NA","0",0,0,
207,0,0,"NA","0",0,0,"\ ' 4.	>.*■"
208,0,0,"NA","0",0,0,"•N"
209,3,12,"PH","0",0,0,"STEVE PIERCEIMustang Daily"
210,3,12,"PH","0",0,0,"Arianna Huffington"
211,3,12,"TXT","19",0,0,"limits. She said there is a need for people who will stand for something even when it is unpopular."
212,3,12,"TXT","20",0,0,"“True leadership is when one is ahead of the problem and one can go out and inspire people and convince them of what needs to be done,” she said."
213,3,12,"TXT","21",0,0,"Huffington said her husband, Michael, recognizes the need for fundamental values that include building up the family unit and encouraging responsibility toward others."
214,3,12,"TXT","22",0,0,"All levels of government, especially nationally, need to set priorities on education, she said. Recognizing the problems with education is to recognize the problems with the economy."
215,3,12,"TXT","23",0,0,"Michael Huffington plans to reduce the deficit by revamping the country’s welfare system and making it into a transitional program, she said. That way people will not be able to make living off welfare a way of fife. She said people need to feel that they can take care of themselves."
216,3,13,"HL","0",0,0,"SLO Nightwriters to hold fiction contest"
217,3,13,"BL","0",0,0,"By Romina Vitols Staff Writer"
218,3,13,"TXT","1",0,0,"If you like to write, it might be wrong for you not to enter SLO Nightwriters’ short story contest."
219,3,13,"TXT","2",0,0,"Each year, the Nightwriters holds a 500-word-maximum writing contest. Cash prizes ranging from $50 to $200 are awarded to the top three entries, and the winners piece will be published"
220,3,13,"TXT","3",0,0,"by SLO Nightwriters."
221,3,13,"TXT","4",0,0,"But, according to contest organizer Lynette Hamel, there’s a catch — each entry must begin ’vith the same sentence."
222,3,13,"TXT","5",0,0,"Hamel said this year’s starter sentence is “The deal with a sweet one.”"
223,3,13,"TXT","6",0,0,"“The story that falls in between that first sentence and the last period,” Hamel said, “is up to you.”"
224,3,13,"TXT","7",0,0,"Shirley Powell, president of"
225,3,13,"TXT","7",0,0,"SLO Nightwriters, said the group was established in 1988 to provide marketing and development support for professional and amateur writers in the area."
226,3,13,"TXT","8",0,0,"Club meetings are held on the second Monday of each month and are open to the public."
227,3,13,"TXT","9",0,0,"During each meeting, a guest speaker addresses some aspect of writing, Powell said, such as publishing or scriptwriting."
228,3,13,"ME","0",7,0,"Sec WRITERS, page 7"
229,3,0,"AT","0",0,1,"PIZZA FOR THE HEALTHY"
230,3,0,"AT","0",0,1,"orai;"
231,0,0,"B","0",0,0,
232,3,0,"AT","0",0,1,"I"
233,3,0,"AT","0",0,1,"HAPPY HOUR: 1/2 price tap drinks MON. TUES. WED. 8pm- 11pm"
234,3,0,"AT","0",0,1,"Fly in' Free Delivery!"
235,3,0,"AT","0",0,1,"0“ru~n~| mustang OAtLY COUPONS"
236,3,0,"AT","0",0,1,"per pizza"
237,3,0,"AT","0",0,1,"exp. 5/17/92'"
238,3,0,"AT","0",0,1,"Hot"
239,3,0,"AT","0",0,1,"6ool fP-tC6"
240,3,0,"AT","0",0,1,"Monday Madness"
241,3,0,"AT","0",0,1,"Any large 16"" one-topping pizza and 2 drinks"
242,3,0,"AT","0",0,1,"$8.99 plus tax"
243,3,0,"AT","0",0,1,"not valid with any other offer additional toppings extra"
244,3,0,"AT","0",0,1,"1000 Higuera SLO 541-4420"
245,4,0,"PI","0",0,0,"MONDAY, May 1 1, 1992"
246,4,0,"SH","0",0,0,"COMMENTARY"
247,4,14,"HL","0",0,0,"Albert Camus on capital punishment"
248,4,14,"TXT","1",0,0,"Whemver the perennial debate over capital punishment heats up, as it has again in California with the execution of Robert Alton Harris, I reach for my copy of Albert Camus’ classic 1957 essay “Reflections on the Guillotine,” published in the Nobel Prize-winning French author’s b<x)k “Resistance, Rebellion and Death.” Many firm believers in capital punishment have been converted into abolitionists after reading this essay."
249,4,14,"TXT","2",0,0,"One argument by Camus should be particularly compelling for conservatives who support the death penalty yet oppose excessive government power. Camus reversed the conventional rationale for capital punishment as a defense of the social order against individual criminals. On the contrary, he asserted, in the Twentieth Century, “State crimes have been far more numerous than individual crimes...Hence our society must protect herself not so much against the individual as against the State.”"
250,4,14,"TXT","3",0,0,"According to Camus, the secular State has made itself into an absolute power, usurping God’s authority as Last Judge in believing it has the omniscience to determine who shall live and who shall die. Camus recognized that criminals too play God, but he believed capital punishment is an even more arrogant act because in it the State defies its own fallible legal processes. Shouldn’t those conservatives who are so quick to point out every flaw in governmental and judicial bureaucracies acknowledge the human flaws in that ultimate bureaucratic power, the death sentence?"
251,4,14,"TXT","4",0,0,"Judicial norms are not only error-prone but relative to different times and places. In 1960, Caryl Chessman was executed in California for kidnapping and"
252,4,14,"BL","0",0,0,"By Don Lazere"
253,4,14,"TXT","4",0,0,"rape, the Rosonbergs in 1953 for spying — neither of those sentences would be imposed today. Bribery is a capital offense in Communist countries — a policy that would decimate the population of America’s p>oliticjEil and business elite."
254,4,14,"TXT","5",0,0,"A hundred years ago we hung cattle rustlers, so why not car thieves now? Those who cite the Bible as authority for the death penalty must believe, as indicated therein, that execution is warranted for witchcraft;, cursing one’s parent, adultery and premarital sex, or fatal attack by one’s ox. Thus this year’s norms for execution may change next year — too late for those already killed."
255,4,14,"TXT","6",0,0,"And if we agree on grounds for the death penalty, should we implement it * with “humane” lethal injections like Texas or more “vengeful” means? If we believe ih the most harsh revenge, why not revert to boiling in oil or crucifixion — or more logically yet, keep the wotst criminals alive and torture them daily?"
256,4,14,"TXT","7",0,0,"Camus believed the death penalty is a blasphemy against Jesus Christ, who counseled those without guilt to cast the first stone and who himself was the victim of execution in “a staggering judicial error.” (Comedian Lenny Bruce mused that if Christ had lived in our time, Christians would henceforth wear miniature electric chairs on their necklaces.) What kind of model of Christian mercy were the demonstrators who stood outside San Quentin as Harris died, singing, “Plop, plop, fizz, fizz, oh what a relief it is?”"
