"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
33,1,2,"TXT",8,0,0,"—a proposal to build a nuclear reactor at Point Avena, near Mendocino in northern California, which was also halted, Baldwin said, by the U.S. Geological Survey when it discovered PG&E was withholding seismic data indicating the presence of an earthquake fault."
34,1,2,"TXT",9,0,0,"—the Diablo Canyon Nuclear Power plant, located two and a half miles from the Hosgri fault, which Baldwin said PG&E knew about in 1971, but did not inform the Nuclw Regulatory Commission until 1973."
35,1,2,"TXT",10,0,0,"’The Humboldt Bay power station was the subject of a KNBC-’TV, Los Angeles-produced documentary titled"
36,1,3,"TXT",1,0,0,"When C^fornia State Sen. H.L. Richardson Jr. first entered politics, he found tliat politicians don’t care about beM solutions."
37,1,3,"TXT",2,0,0,"“Money and Politics in California” was the title of the address given by the 25th District Republican senator from Arcadia. A former advertising and pt^lk relations executive, Richardson has been identified with conservative politics over the years."
38,1,3,"TXT",3,0,0,"Politicians don’t give a damn about what’s best — they go into politics to force their ideas on others.” Richardson told an audience of about 80 people in the University Union’s Room 220 Thursday morn^. Intellectual pursuits are not a part of politics. It’s a battle, and I soon learned to play ball within those re-quirements.”"
39,1,3,"TXT",4,0,0,"Richardson maintained that there are five major myths of politics and listed them as:"
40,1,3,"TXT",5,0,0,"—	Political daeitioHt arc eompromiccM. According to Richardson, those decisions are conflicU and the sUte senate is not a reflective body, as it diould be."
41,1,3,"TXT",6,0,0,"—	Potitieiaiu art clactad by a majority. ’The senator hold that voters dact politicians, and the majority of eligible voters don’t vote."
42,1,3,"TXT",7,0,0,"—	PoUtieiant arc “twccty-cwccty"" people. Richard-*8on said the politicians he’s dealt with are people who get what they want."
43,1,3,"TXT",8,0,0,"—	Legislators read everything they vote on. He said they read perhaps a third of what they vote on, and voting on 20 bills with one vote is not uncommon."
44,1,3,"TXT",9,0,0,"—	Talking with a politician will change his or her mind."
45,1,3,"TXT",10,0,0,"“It all boils down to thejact that the legislatUve process we have today is the worst way to solve problems,” said the senator. ""To say a state senator can represent 6,0(X) people is stupid.” According to Rkhiudson, C^fornia would be bdter off if lawmakers were part-time politicians who worked with citizens to reach solutions."
46,1,3,"TXT",11,0,0,"Richardson stated kis conclusion and opened the floor to questions. Cal Poly poliHical science professor David George began a question regarding the Second Amendment and Richardson, founder a^ chairman of Gun Owners of America and Gun Owners of California, said loudly, “I will not disctiss the Second Amendment!” Mambws of the audience responded by firing repeated questions at the senator about his stance on gun owner-riiip."
47,1,3,"TXT",12,0,0,"Taking the idea of personal freedoms a step further, a young man asked the speaker how he felt about abortion, gay rights, and marijuana."
48,1,3,"ME",0,6,0,"Please see page 6"
49,1,2,"TXT",10,0,0,"The Powers ’That Be,” which explored the issue of furi problems and seismic safety of the plant."
50,1,2,"TXT",11,0,0,"After the show was aired, PG&E officials drew up a letter accusing th^ocumentary’s producer of secretly taping a utility offi<^ on the subject of the safety of the furi at the plant, Baldwin said. ’The note said the produced taped the remarks clandestinely, then edited the film to make it appear that the official was speaking on camera. Baldwin said.	^"
51,1,2,"TXT",12,0,0,"’The letter, according to Baldwin was sent to congressmen, goverorhent agencies and the Atomic Energ^y Commission among other places, and the producer sued for libel, claiming his reputation would be damaged.'"
52,1,2,"BQT",0,0,0,"PG&E says the plant is safe, but can we believe them?”"
53,1,2,"BQA",0,0,0,"W, Andrew Baldwin"
54,1,2,"TXT",13,0,0,"Under questioning during the trial, the PG&E official who made the accusations admitted he had indeed made the contentious remarks on the record. Baldwin said a jury found that PG&E did libel the producer and awarded him S7 million in damages. An appeals court found that amount excessive, however, and a settlement in lower court netted him 1400,000.	^"
55,1,2,"TXT",14,0,0,"'The former legal director for the San Francisco-basbd Friends of the Earth, said PG&E’s motivation in this incident was to prevent further showings of this documentary, which they felt was ""full of innuendoes, half truths, and biased.”"
56,1,2,"TXT",15,0,0,"'The lawyer, who has worked for the San Luis Obispo Mothers for Peace and other legal intervenors for over two years, also read from PG&E documents instructions concerning the screening and destruction of files to prevent detrimental information about the utility’s activities from becoming public."
57,1,2,"TXT",16,0,0,"A PG&E representative was at the talk, but refused to comment on Baldwin’s remarks for the record. He also declined to give his name to a reporter."
58,1,3,"HL",0,0,0,"Conservative state senator says politicians don’t care whaVs best"
59,0,0,"NA",0,0,0,"/"
60,0,0,"NA",0,0,0,"«M"
61,0,0,"NA",0,0,0,"Mmt—s DsSy—0i"
62,1,3,"PH",0,0,0,"State Senator H.L. Richardson (R-Arcadia) after he spoke in UU 220 Thursday."
63,2,0,"PI",0,0,0,"Pag* 2"
64,2,0,"PI",0,0,0,"Muatang Daily Friday, May 15, IMI"
65,2,4,"HL",0,0,0,"Libyans threaten an oil cutoff"
66,2,4,"TXT",1,0,0,"WASHIN'tON lAP) — Twenty-six Libyan diplomats left the United States under President Reagan’s expulsion order early today after their chief delivered a parting shot: a threat to cut off oil shipments in retaliation."
67,2,4,"TXT",2,0,0,"Reagan issued the order last week after the State Department alleged that Libya and the People’s Bureau, its mission in Washington, had engaged in ’’provocations and misconduct, including support for international terrorism."""
68,2,4,"TXT",3,0,0,"Hours before his departure. Ali el Houderi, Libya’s top diplomat In the United States, said a halt in oil sales to the United States is one option under consideration by his government."
69,2,4,"TXT",4,0,0,"Libya provides about 10 percent of U.S. oil imports for about $12 billion a year."
70,2,4,"TXT",5,0,0,"U.S. officials have charged that Libya has intimidated dissident Libyans in this country and, aided by Soviet military equipment, has intervened in dozens of other nations, most of them friendly to the United States."
71,2,4,"TXT",6,0,0,"The State Department said it saw no reason why the expulsion of the diplomats should affect oil trade with Libya.	~ i"
72,2,4,"TXT",7,0,0,"Asked Wednesday about Houderi’s comments. State Department spokesman Dean Fischer declined to discuss the ‘‘hypothetical’’ possibility of an oil cutoff."
73,2,5,"HL",0,0,0,"MX vyon’t get Columbia River"
74,2,5,"TXT",1,0,0,"SALEM, Ore. AP—Oregon Gov. Vic Atiyeh said Thursday he would oppose any effoils to divert Columbia River water to Nevada for the proposed MX missile project."
75,2,5,"TXT",2,0,0,"1 don’t want to be dramatic about this,’’ he said. I’m absolutely adamant that nobody’s going to get Columbia River water.”	,:"
76,2,5,"TXT",3,0,0,"Atiyeh said there is no water to spare ifrom the river, which serves Oregon, Washington and Idaho. He said if Nevada officials demanded Sacramento River water, they would get the same reaction from California officials."
77,2,0,"SH",0,0,0,"Newsline"
78,2,6,"HL",0,0,0,"Mideast peace negotiations stall"
79,2,6,"TXT",1,0,0,"TEL AVIV, Israel AP - U.S. envoy Philip C. Habib consulted Thursday with the leaders of Syria and Israel, but his diplomatic attempt to resolve the two countries’ dispute in Lebanon appeared threatened by the Syrian downing of a pilotless Israeli reconnaissance plane."
80,2,6,"TXT",2,0,0,"The plane, called p ‘‘drone’’ and used to photograph troops on the ground, was shot down by a volley of Soviet-made SAM-6 missiles in eastern Lebanon while Habib was in Damascus 'Thursday morning for talks with Syrian President Hafez Assad."
81,2,6,"TXT",3,0,0,". Israel demands the Syrian missiles be removed from Lebanon. On ‘Thursday, Begin said the downing of the aircraft had created a “grave situation"" even if Israeli pilots were not involved."
82,2,7,"HL",0,0,0,"Unborn baby treated for disease"
83,2,7,"TXT",1,0,0,"SAN FRANCISCO (AP) - An unborn baby girl suffering from a deadly inherited disease was treated successfully when doctors gave medicine to her mother. University of California doctors reported 'Thursday."
84,2,7,"TXT",2,0,0,"'Treating the baby by treating the mother is an ""important new concept,"" tried only twice before, siud Dr. Seymour Packman of UC-San Francisco. 'The technique “could be applicable and very beneficial for a fair number of inherited metabolic diseases,"" he added."
85,2,7,"TXT",3,0,0,"'The child, Nicole Whitmore, of Santa Rosa, was bom last Dec. 21 with a disorder that prevents her body from utilizing a crucial vitamin called biotin."
86,2,7,"TXT",4,0,0,"'They diagnosed her problem 16 weeks into Debra Whitmore’s pregnancy — a diagnosis never before made on an unborn child, the university said. 'They looked for the disorder because Nicole’s older brother also inherited it."
87,2,8,"HL",0,0,0,"Pope is called a lucky survivor"
88,2,8,"TXT",1,0,0,"VATICAN CI'TY>(AP)-""'The Pope was very lucky.” the director of surgery at Gemelli Policlinico hospital. Professor Giancark) Casti^ioni, told reporters. 'The 60^ year-old pope, known around the world for his open smile and robust vitality, was expected to stay two more days in the emergency care unit at the hospital, the most modem in Rome."
89,2,8,"TXT",2,0,0,"“We have sound hopes that the pope will remain with us. that he will continue to live,"" Castiglioni said. “He wasn’t hit in vital parts but they were not li^t injuries. Important blood vessels were just barely missed."""
90,2,8,"TXT",3,0,0,"A swarthy, well-dressed man was grabbed by police immediately after the shots rang out in St. Peter’s Square as the pope stood in a slow-moving white jeep, greeting a crowd of 15,000 at lus weekly audience. Detectives reportedly said that the man seized was carrying a hand-written letter saying the attack on the pope was a protest against U.S. and Soviet imperialism."
91,2,8,"TXT",4,0,0,"‘The Italian news agency ANSA said the note read, “1 am killing the pope to protest against the Soviet Union and the United States, and against the gmocide they are committing in El Salvador and Afghanistan."""
92,2,8,"TXT",5,0,0,"Police said the man gave his name as Nehmet Ali Agca, 23, and told them repeatedly he “couldn’t care less about life."" He was later identifîed as the terrorist Mehmet Ali Agca after fingerprints arrived from Interpol.	,"
93,2,9,"HL",0,0,0,"Plane search conflict arises"
94,2,9,"TXT",1,0,0,"WASHING'TON (API - 'The United States and the ‘ Soviet Union are giving contradictory accounts — in unusually harsh language — to describe what happened when U.S. authorities boarded a Russian plane and seized three cartons just before the jet was to fly to Moscow."
95,2,9,"TXT",2,0,0,"In Moscow, signs protesting the incident were put on four automobiles parked outside the U.S. Embassy. One read, ""Shame on the American bandits.”"
96,2,9,"TXT",3,0,0,"'The Commerça Department said its technicians still were examining the material today to'see if it was properly licensed for export and if it really is defense-related."
97,2,0,"AT",0,0,1,"C1991 Califofnia Mtik Advw4>ry ^»«rd"
98,2,0,"AT",0,0,1,"When the only you can squeeze between English and German isaDanish^"
99,0,0,"B",0,0,0,
100,0,0,"B",0,0,0,
101,0,0,"B",0,0,0,
102,2,0,"AT",0,0,1,"Sometimes"
103,2,0,"AT",0,0,1,"eating can be a real struggle between classes."
104,2,0,"AT",0,0,1,"So when you do grab a snack... grab a milk."
105,2,0,"AT",0,0,1,"-	Milk fits any food. Any sch^ule."
106,2,0,"AT",0,0,1,"From instant pudding to 3 minute eggs."
107,2,0,"AT",0,0,1,"Twenty-four hours a day."
108,2,0,"AT",0,0,1,"there's nodiiiffi like somethiiffi wifliMilk. ."
109,2,0,"AT",0,0,1,"This sral is your assurarK«"
110,2,0,"AT",0,0,1,"oi a real dairy food.^0^"
111,2,0,"AT",0,0,2,"Low Calorie Ice Creams Veygie Plates Salads Soups"
112,2,0,"AT",0,0,2,"Near Luckys 773 Foothill 543-7535"
113,2,0,"AT",0,0,3,"touring GEAJ,"
114,2,0,"AT",0,0,3,"MOUNTAIN Am"
115,2,0,"AT",0,0,3,"RIKFS"
116,0,0,"NA",0,0,0,"la« HK,l I HA • M.O .VM WM"
117,2,0,"AT",0,0,4,"1 TRANSCENDING>THE ORDINARVI"
118,0,0,"B",0,0,0,
119,0,0,"B",0,0,0,
120,2,0,"AT",0,0,4,"NAD STEREO EQVtFMENTiS ! WORTH FIGHTING FOR!!"
121,0,0,"NA",0,0,0,"m •"
122,0,0,"NA",0,0,0,".-.'ér"
123,0,0,"NA",0,0,0,"1"
124,2,0,"AT",0,0,4,"NAD"
125,2,0,"AT",0,0,4,"THE NAD 3020 & 4020"
126,2,0,"AT",0,0,4,"lAST TIME YOU BEAD WHAT ACCLAIMED AUDIO CRITICS SAID ASOUT NAD STEREO EQUIPMENT NOW, TAKE A LOOK AT TWO Of NAD’S OUTSTANDING PRODUCTS the NAO 3020 integrated AMP K 4020 TUNER AT t21t EACH REELECT NAO S PHILOSOPHY THAT OREAT AUDIO DESIGN DOESN T COST ANY MORE THAN A MEDIOCRE ONE THAT S AN UNCOMMONLY RATIONAL APPROACH TO AUDIO OESION AUDIO ECSTASY IS PROUD TO REPRESENT these extraordinary products EROM NAO"
127,2,0,"AT",0,0,4,"WE REPRESENT"
128,2,0,"AT",0,0,4,"ACOUSTAT • AOCOM • AIWA • ALLISON • AUDIO CONTROL • AUDIO PRO • AUDIO SOURCE"
129,2,0,"AT",0,0,4,"• AXIOM rsostom acousticssbUrhoe roe non* oyem vector* OR AOORHAELERR"
130,2,0,"AT",0,0,4,"i	RUOIO PURIST • MICRO SEIXI • NAO • ONXYO • PS AUDIO • PYRAMID •"
131,2,0,"AT",0,0,4,"CABLES • SHURE SME • SONUS • STAX • TOX • VANOERSTEEN B AUDIOPHILE RECORDINGS"
132,3,0,"PI",0,0,0,"Mustang Daily"
133,3,0,"PI",0,0,0,"Friday, May 15.1M1"
134,3,0,"PI",0,0,0,"Pag# 3"
135,0,0,"NA",0,0,0,"k~i- _"
136,0,0,"B",0,0,0,
137,0,0,"NA",0,0,0,"1 1"
138,0,0,"B",0,0,0,
139,0,0,"NA",0,0,0,"1/"
140,0,0,"B",0,0,0,
141,0,0,"NA",0,0,0,"y"
142,0,0,"B",0,0,0,
143,0,0,"B",0,0,0,
144,0,0,"NA",0,0,0,"i£>"
145,0,0,"B",0,0,0,
146,0,0,"B",0,0,0,
147,3,10,"HL",0,0,0,"Art class formed from molten glass"
148,3,10,"BL",0,0,0,"___.1__________BY KARIN RICH ____________ _"
149,3,10,"BL",0,0,0,"stall Wrilsr"
150,3,10,"TXT",1,0,0,"The furnaces in the Cal Poly glassblowing lab line up against the wall like square, squat animals, roaring and glowing an eerie orange. As a student slides open a door to collect a lump of white-hot molten glass on the end of his blowpipe, intense heat pours out into the lab and warms the damp, early morning air~ of an overcast day.	i"
151,3,10,"TXT",2,0,0,"For the beginning students of Art 242, it's “Smoothie Day,"" according to glassblowing teacher George Jercich. If the ' students have suC(:eeded in blowing a drinking glass or cup, they get to try them out by drinking smoothies, a drink con-, taining ice cream and fruit."
152,3,10,"TXT",3,0,0,"It's an incentive, said Jercich. “No glass, no smoothie."""
153,3,10,"TXT",4,0,0,"For the advanced students, like Ralph Johnson and Bill Hedges.'it's time to practice and experiment with their glassblowing skills."
154,3,10,"TXT",5,0,0,"Johnson, a 25-year-old crop science and poultry major, said he has been blowing glass for almost a year. What began as a side interest for him may become a professional career ""if farming doesnit pan out,"" said Johnson. One of his works, a ""slump bowl,"" is on display in the U.U. Galerie show,""Selections '81."""
155,3,10,"TXT",6,0,0,"Johnson is presently working on his ""Confettie Series."" ""1 got tired of making wine glasses,"" he said. ""I'm moving off into other territories."""
156,3,10,"TXT",7,0,0,"Describing his series idea as new wave, Johnson works with basic shapes of glass, and adds random places of color creating the ""confetti effect.” Johnson coats his blowpipe with a white liner before applying the molten glass, which turns the clear glass white. “It's a white background for me to paint on,"" said Johnson."
157,3,10,"TXT",8,0,0,"One of Johnson's fellow students, Frank Zike, called him the class's ""most advanced student."""
158,3,10,"TXT",9,0,0,"“He's bean around here the longest,"" said Zike. “He's very serious about his work."""
159,3,10,"TXT",10,0,0,"Bill Hedges, 23, is an architecture student who has blown glass since last fall. He said he always enjoyed watching glassblowers and thought he would give it a try. Since that decision, he said he spends about four hours a week in the lab practicing at his hobby."
160,3,10,"TXT",11,0,0,"“Why does an archie blow glass?” he asked. “Because it’s fun.” -"
161,3,10,"ME",0,6,0,"PI«aM aaa page 6"
162,0,0,"B",0,0,0,
163,3,0,"PH",0,0,0,"Photos by Sean Thomson"
164,3,0,"PH",0,0,0,"Story by Karin Rich"
165,3,0,"PH",0,0,0,"Top to bottom: Bill Hedges huffs and puffs to blow a glass trinket; Andrew Williams, a 26-year-old biological science major, pounds the glass into the desired $hape. Hedges peers into the fire to see if the glass has reached the correct consistency."
166,0,0,"B",0,0,0,
167,4,0,"PI",0,0,0,"MiMtonfIMIy PrMay.ltoy 18.1M1"
168,0,0,"NA",0,0,0,"I 1"
169,4,0,"CN",0,0,0,"Stanley Stoked"
170,4,0,"CT",0,0,0,"wnei^«"
171,4,0,"CT",0,0,0,"IV"
172,4,0,"CT",0,0,0,"of - ■ -"
173,4,0,"CT",0,0,0,"t«L^ ME. tk-va^fticD . I DONr w&ni^ ‘ OOTT»i Poto"
174,4,0,"CN",0,0,0,"By Tony Cockrell"
175,0,0,"NA",0,0,0,"^féÌÌMÒTBWTB^?lNBAPpUe..AKO ‘"
176,0,0,"NA",0,0,0,".3JRO«IB.T\2*A.	^-W"
177,0,0,"NA",0,0,0,"f"
178,4,11,"HL",0,0,0,"Pamphlet seeks to improve student-city relations"
179,4,11,"BL",0,0,0,"BY NANCY LEWIS \"
180,4,11,"BL",0,0,0,"StoNWrMar"
181,4,11,"TXT",1,0,0,"Incoming students in the future may better understand the Cal Poly police and other governmental agencies after reading the student community resource handbook."
182,4,11,"TXT",2,0,0,"The goal of the pamphlet, currently being planned by the coordinator of the student afftrmatiye action program on campus. Alfonso E. Locke, is to improve student-community involvement."
183,4,11,"TXT",3,0,0,"He wants it to reach out to flrst-year students who*"
184,4,11,"TXT",3,0,0,"have situational problems in making the transition from their homes to Cal Poly-"
185,4,11,"TXT",4,0,0,"Community and governmental agencies, and individuals who lead these agencies, would be covered_ in one section of the pam-~ phlet."
186,4,11,"TXT",5,0,0,"“The campus police is just one example,” said Locke. He feels students need to know more than the phone number of the department, including how the police perceive students, what problems they have with students"
187,4,11,"TXT",5,0,0,"and how relationships between the two groups can be improved."
188,4,11,"TXT",6,0,0,"Off-campus housing would also be a major part of the pamphlet, showing what apartment complexes are accessible to disabled or handicapped students."
189,4,11,"TXT",7,0,0,"In another section of the handbook, Locke wants to provide students with consumer services information, such as inexpensive places to get hair cut, plus banks, shopping and specialty stores."
190,4,11,"TXT",8,0,0,"Information on transportation such as"
191,4,11,"TXT",8,0,0,"local and long distance buslines, airlines and commuter sharing will also be covered."
192,4,11,"TXT",9,0,0,"Recreation information is also important, said Locke. City, county and state parks, and their descriptions and locations can be reported on, along with the maintainance which must be done to keep them up."
193,4,11,"TXT",10,0,0,"Performing arts, cultural organizations and leisure time pursuits, like movies, newspapers, radio stations and television, would be developed in another sec-"
194,4,11,"TXT",10,0,0,"tion, according to Locke."
195,4,11,"TXT",11,0,0,"Locke wants older students to write arid complete the pamphlet because ""they can give their opinions of the advantages, disadvantages and highlights of the community outside of the classroom as they see it through their experience.”"
196,4,11,"TXT",12,0,0,"About 25 volunteers are needed to get this handbook started on its way to reality, said Locke. He suggests that students interested in graphic arts, photography, writing, cartoons, illustrations or any"
197,4,11,"TXT",12,0,0,"type of artwork contact him."
198,4,11,"TXT",13,0,0,"Locke wants to recruit a four-member coordii^ting committee to direct and review the activities and articles written by other student volunteers."
199,4,11,"TXT",14,0,0,"There is a strong possibility of reimbursement for volunteer time spent,” said Locke, and he is willing to leave the work schedule up to individual students."
200,4,11,"TXT",15,0,0,"If anyone is interested, contact Locke at 546-1436 of Room 35-Q in the Facul-> ty Office Building."
201,4,0,"AT",0,0,1,"■ • •	NOTICE"
202,4,0,"AT",0,0,1,"	R. Buckminster F^uller: Well"
203,4,0,"AT",0,0,1,"»	Known American 4hinker, ar-"
204,4,0,"AT",0,0,1,"	chitect. designer, scientist, ""inventer, phiiosopher, and author of severai books inciuding, “Operating Manuai for Spaceship Earth"", and his newest best seiier. ""The Criticai"
205,4,0,"AT",0,0,1,"\	Path"", wiii be at Ei Corrai"
206,4,0,"AT",0,0,1,"	Bookstore May Iff, (Monday) from"
207,4,0,"AT",0,0,1,"Ì	3-4 p.m. Scheduied is an informai autograph signing. Come in and meet R. Buckminster Fuiier prior to his evening lecture in Chumash auditorium. A selection of Mr. Fuller’s best"
208,4,0,"AT",0,0,1,"	titles will be available for in-"
209,4,0,"AT",0,0,1,"	spection and autographs."
210,4,0,"AT",0,0,2,"WE HAVE THE SHIRT"
211,4,0,"AT",0,0,2,"(IZOD) ."
212,4,0,"AT",0,0,2,"WOMENS"
213,4,0,"AT",0,0,2,"poly/cot. $20.00 BOYS"
214,4,0,"AT",0,0,2,"$16-$18 sizes 16-20"
215,4,0,"AT",0,0,2,"MENS"
216,4,0,"AT",0,0,2,"100% cot. $24.00 65/35 poly/cot. $23.00 sizes sm-xxiarge"
217,4,0,"AT",0,0,2,"15% DISCOUNT WITH THIS AD!"
218,4,0,"AT",0,0,2,"Dennis Pogue’s Golf Shop San Luis Obispo Golf & Country Club 251 Country Club Dr. SLO 543-4035"
219,4,0,"AT",0,0,3,"The Mustang Daily"
220,4,0,"AT",0,0,3,"Is now accepting applications - for the postitlons of:"
221,0,0,"NA",0,0,0,"«"
222,4,0,"AT",0,0,3,"•Managing Editor •Enertalnment Editor •Editorial assistants •Photo Editor •Sports Editor	•Copy Reader"
223,4,0,"AT",0,0,3,"•Outdoors Editor"
224,0,0,"B",0,0,0,
225,4,0,"AT",0,0,3,"Enquire at the nuatmng Dmilg"
226,4,0,"AT",0,0,3,"office in Hoorn 226 of the Graphic Arts buttding for applications and description of duties."
227,4,0,"AT",0,0,3,"The application deadline is Thurs., May 21"
228,0,0,"NA",0,0,0,"( I M’ll s"
229,4,0,"AT",0,0,4,"5c"
230,4,0,"AT",0,0,4,"I 111 I rmnimu;!) '"
231,0,0,"NA",0,0,0,"^ I s K , ) s"
232,0,0,"NA",0,0,0,"S.iftta Kon.i ’-11 Ml*-)!"
233,4,0,"AT ",0,0,5,"KODAK FILM"
234,4,0,"AT",0,0,5,"KINKO S"
235,0,0,"NA",0,0,0,"'t ‘>.i'i 1,1 M( is.i “'4 i '4F9 i"
236,0,0,"NA",0,0,0,"©®© ©0©"
237,4,0,"AT",0,0,7,"¿00DLUCK"
238,4,0,"AT",0,0,7,"Mustang Dally"
239,4,0,"AT",0,0,7,"BREWSERS In Your Annual Softball ^^^ -0 Game Against ^"
240,4,0,"AT",0,0,7,"KCPR ^"
241,0,0,"NA",0,0,0,"1 rm Mtn	mért"
242,0,0,"NA",0,0,0,"1 TH( »«•*$ H»e« tint ) r4oeii rm 1« Tele* «leesw"
243,0,0,"NA",0,0,0,"I LM KOITtt Berw« Upe I LfO «OTT« ...."
244,0,0,"NA",0,0,0,">	IMIV «MM TeteMe"
245,0,0,"NA",0,0,0,"I »UlV MM. I*«B le toertce f KTTt	tistfw	Heeneaa"
246,0,0,"NA",0,0,0,"' m Orm*"
247,0,0,"NA",0,0,0,"I FQMàl tkpae Biee I JAV	Tlie ft«e leee"
248,0,0,"NA",0,0,0,"I jmmr mm mu«« Jprey JpTf f m$ inNMTT Itvteee Nm Aee I MVIi MT« tee*ye I NdM*TA HAM »'BeMiv MeUieMv I tltTM tLtm Lave $—a>eM»-I weu Pit te To Vletory I bmLMB JtMOT Mo-tyeO J—a"
249,0,0,"NA",0,0,0,"I oocacn ti m up"
250,0,0,"NA",0,0,0,"I nt MM •pi'iTo Noel«« tiee*"
251,0,0,"NA",0,0,0,">	mt AIMS atMe ttiMM"
252,0,0,"NA",0,0,0,"1 jom tmmtn Bn*eAoo«..."
